,Run,Deletion,Rho0,Rho1,Rho2,Rho3
0,0,0,0,3,3,6
1,0,1,0,3,3,5
2,0,2,0,1,3,4
3,0,3,1,2,3,3
4,0,4,1,2,2,2
5,0,5,1,1,1,1
6,1,0,0,3,3,6
7,1,1,0,3,3,5
8,1,2,0,3,3,4
9,1,3,0,2,2,3
10,1,4,1,1,1,2
11,1,5,1,1,1,1
12,2,0,0,3,3,6
13,2,1,0,3,3,5
14,2,2,0,1,3,4
15,2,3,0,0,3,3
16,2,4,1,1,2,2
17,2,5,1,1,1,1
18,3,0,0,3,3,6
19,3,1,0,3,3,5
20,3,2,0,1,3,4
21,3,3,0,2,2,3
22,3,4,1,1,2,2
23,3,5,1,1,1,1
24,4,0,0,3,3,6
25,4,1,0,3,3,5
26,4,2,0,3,3,4
27,4,3,1,2,3,3
28,4,4,1,2,2,2
29,4,5,1,1,1,1
30,5,0,0,3,3,6
31,5,1,0,3,3,5
32,5,2,1,3,3,4
33,5,3,1,2,3,3
34,5,4,1,2,2,2
35,5,5,1,1,1,1
36,6,0,0,3,3,6
37,6,1,0,3,3,5
38,6,2,0,1,3,4
39,6,3,0,0,3,3
40,6,4,1,1,2,2
41,6,5,1,1,1,1
42,7,0,0,3,3,6
43,7,1,0,3,3,5
44,7,2,0,4,2,4
45,7,3,1,2,2,3
46,7,4,1,1,2,2
47,7,5,1,1,1,1
48,8,0,0,3,3,6
49,8,1,0,3,3,5
50,8,2,1,3,3,4
51,8,3,1,2,3,3
52,8,4,1,2,2,2
53,8,5,1,1,1,1
54,9,0,0,3,3,6
55,9,1,0,3,3,5
56,9,2,0,4,2,4
57,9,3,1,2,2,3
58,9,4,1,1,2,2
59,9,5,1,1,1,1
60,10,0,0,3,3,6
61,10,1,0,3,3,5
62,10,2,1,3,3,4
63,10,3,1,2,3,3
64,10,4,1,1,2,2
65,10,5,1,1,1,1
66,11,0,0,3,3,6
67,11,1,0,3,3,5
68,11,2,0,4,2,4
69,11,3,1,2,2,3
70,11,4,1,2,2,2
71,11,5,1,1,1,1
72,12,0,0,3,3,6
73,12,1,0,3,3,5
74,12,2,0,1,3,4
75,12,3,0,2,2,3
76,12,4,1,1,1,2
77,12,5,1,1,1,1
78,13,0,0,3,3,6
79,13,1,0,3,3,5
80,13,2,0,1,3,4
81,13,3,0,2,2,3
82,13,4,1,2,2,2
83,13,5,1,1,1,1
84,14,0,0,3,3,6
85,14,1,0,3,3,5
86,14,2,0,4,2,4
87,14,3,0,2,2,3
88,14,4,1,1,2,2
89,14,5,1,1,1,1
90,15,0,0,3,3,6
91,15,1,0,3,3,5
92,15,2,0,1,3,4
93,15,3,0,2,2,3
94,15,4,1,1,1,2
95,15,5,1,1,1,1
96,16,0,0,3,3,6
97,16,1,0,3,3,5
98,16,2,1,3,3,4
99,16,3,1,2,3,3
100,16,4,1,2,2,2
101,16,5,1,1,1,1
102,17,0,0,3,3,6
103,17,1,0,3,3,5
104,17,2,0,1,3,4
105,17,3,1,2,2,3
106,17,4,1,1,1,2
107,17,5,1,1,1,1
108,18,0,0,3,3,6
109,18,1,0,3,3,5
110,18,2,0,4,2,4
111,18,3,0,2,2,3
112,18,4,1,2,2,2
113,18,5,1,1,1,1
114,19,0,0,3,3,6
115,19,1,0,3,3,5
116,19,2,0,4,2,4
117,19,3,0,2,2,3
118,19,4,1,1,2,2
119,19,5,1,1,1,1
120,20,0,0,3,3,6
121,20,1,0,3,3,5
122,20,2,0,1,3,4
123,20,3,1,2,2,3
124,20,4,1,1,1,2
125,20,5,1,1,1,1
126,21,0,0,3,3,6
127,21,1,0,3,3,5
128,21,2,0,1,3,4
129,21,3,1,2,3,3
130,21,4,1,2,2,2
131,21,5,1,1,1,1
132,22,0,0,3,3,6
133,22,1,0,3,3,5
134,22,2,1,3,3,4
135,22,3,1,2,2,3
136,22,4,1,1,1,2
137,22,5,1,1,1,1
138,23,0,0,3,3,6
139,23,1,0,3,3,5
140,23,2,0,3,3,4
141,23,3,0,2,2,3
142,23,4,1,1,1,2
143,23,5,1,1,1,1
144,24,0,0,3,3,6
145,24,1,0,3,3,5
146,24,2,1,3,3,4
147,24,3,1,2,2,3
148,24,4,1,1,2,2
149,24,5,1,1,1,1
150,25,0,0,3,3,6
151,25,1,0,3,3,5
152,25,2,0,1,3,4
153,25,3,0,0,3,3
154,25,4,1,1,2,2
155,25,5,1,1,1,1
156,26,0,0,3,3,6
157,26,1,0,3,3,5
158,26,2,0,1,3,4
159,26,3,0,2,2,3
160,26,4,1,1,2,2
161,26,5,1,1,1,1
162,27,0,0,3,3,6
163,27,1,0,3,3,5
164,27,2,0,1,3,4
165,27,3,0,2,2,3
166,27,4,1,1,1,2
167,27,5,1,1,1,1
